Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,530896347,6811.130901221111,3138783,40.26899413479578,536460,6301020,80.83889119548274,7965,0.10218691074969129,1221,
United States of America,Americas,83987071,25373.534,748418,226.106,135192,999343,301.914,2007,0.606,366
India,South-East Asia,43190282,3129.721,29450,2.134,5233,524715,38.023,79,0.006,7
Brazil,Americas,31195118,14675.952,217457,102.304,35783,667041,313.814,525,0.247,36
France,Europe,28759314,44218.323,123188,189.405,11627,145283,223.377,264,0.406,74
Germany,Europe,26583016,31963.529,197867,237.916,48719,139533,167.775,26,0.031,6
The United Kingdom,Europe,22349187,32921.642,44336,65.309,6703,178998,263.674,169,0.249,4
Russian Federation,Europe,18362105,12582.433,26591,18.221,3646,379736,260.21,536,0.367,79
Republic of Korea,Western Pacific,18188200,35475.891,68785,134.164,13358,24305,47.407,108,0.211,6
Italy,Europe,17543136,29414.316,121726,204.096,28547,167089,280.156,392,0.657,70
Turkey,Europe,15073722,17872.764,975,1.156,0,98969,117.347,4,0.005,0
Spain,Europe,12436538,26274.775,44000,92.959,33293,106914,225.878,296,0.625,117
Viet Nam,Western Pacific,10727005,11020.302,7626,7.835,960,43081,44.259,2,0.002,0
Argentina,Americas,9276618,20525.41,46045,101.879,0,128973,285.365,84,0.186,0
Japan,Western Pacific,8972654,7094.327,122372,96.755,15519,30797,24.35,179,0.142,24
Netherlands,Europe,8095313,46504.515,9459,54.338,1421,22326,128.254,3,0.017,0
Australia,Western Pacific,7471599,29300.522,199786,783.478,30077,8802,34.518,281,1.102,47
Iran (Islamic Republic of),Eastern Mediterranean,7232929,8611.353,895,1.066,139,141339,168.275,24,0.029,7
Colombia,Americas,6109105,12006.207,5650,11.104,0,139867,274.88,13,0.026,0
Indonesia,South-East Asia,6057660,2214.675,2319,0.848,0,156624,57.262,30,0.011,0
Poland,Europe,6009205,15831.137,1365,3.596,202,116362,306.553,36,0.095,7
Mexico,Americas,5792317,4492.51,12118,9.399,1035,325023,252.087,15,0.012,6
Ukraine,Europe,5014929,11466.952,3496,7.994,0,108605,248.332,67,0.153,0
Portugal,Europe,4872945,47328.944,158534,1539.777,27738,23446,227.722,292,2.836,34
Malaysia,Western Pacific,4517447,13957.385,10937,33.792,1128,35699,110.298,23,0.071,9
Thailand,South-East Asia,4473867,6409.554,18847,27.001,2688,30239,43.322,192,0.275,21
Austria,Europe,4308082,48399.63,19656,220.828,2281,19953,224.164,13,0.146,0
Belgium,Europe,4164698,36144.237,7270,63.094,5,31799,275.975,32,0.278,0
Israel,Europe,4161847,48083.037,19019,219.732,4585,10867,125.55,2,0.023,0
South Africa,Africa,3968931,6691.989,11154,18.807,0,101350,170.886,160,0.27,0
Czechia,Europe,3921844,36673.521,1526,14.27,314,40295,376.802,4,0.037,0
Canada,Americas,3883221,10288.817,12330,32.669,1871,41300,109.427,154,0.408,16
Chile,Americas,3760891,19673.841,57950,303.146,4671,57997,303.392,105,0.549,6
Philippines,Western Pacific,3691892,3369.096,1311,1.196,168,60456,55.17,1,0.001,0
Switzerland,Europe,3667745,42379.051,7778,89.871,3,13267,153.294,2,0.023,0
Peru,Americas,3585767,10875.236,5420,16.438,386,213269,646.821,83,0.252,10
China,Western Pacific,3528881,239.85,509538,34.632,83325,17829,1.212,970,0.066,127
Greece,Europe,3478779,32455.641,25822,240.909,5910,29951,279.431,101,0.942,19
Denmark,Europe,3140665,53937.71,3769,64.729,1987,6388,109.707,25,0.429,12
Romania,Europe,2911170,15061.278,1975,10.218,404,65697,339.891,13,0.067,4
Sweden,Europe,2509366,24297.694,469,4.541,0,19014,184.109,0,0,0
Iraq,Eastern Mediterranean,2328957,5790.186,803,1.996,170,25221,62.704,2,0.005,0
Serbia,Europe,2019171,29150.527,1717,24.788,281,16094,232.347,13,0.188,3
Bangladesh,South-East Asia,1953754,1186.327,247,0.15,54,29131,17.688,0,0,0
Hungary,Europe,1921486,19668.16,1646,16.848,1646,46571,476.697,24,0.246,24
Slovakia,Europe,1790597,32807.597,845,15.482,174,20107,368.404,7,0.128,2
Jordan,Eastern Mediterranean,1697271,16634.801,334,3.274,0,14068,137.879,2,0.02,0
Georgia,Europe,1657729,41555.685,0,0,0,16826,421.791,0,0,0
